name,city_region,type,products,certifications,eu_market,scale,verification,source_ref
Dari Couspate,Salé (Rabat-Salé-Kénitra),Listed private family company (est. 1995),"Organic couscous (first in Morocco), pasta","Moroccan and European organic standards; ISO 22000 (Bureau Veritas); BRC Food","Yes - FR, ES, IT, BE, NL, DE, UK; Carrefour, Leclerc, Auchan, Casino",>50% of national couscous exports,Verified,X28;X29
Les Conserves de Meknès (Aicha),Meknès (Fès-Meknès),Private company (est. 1929),"Organic extra-virgin olive oil, organic argan oil, jams, tomato concentrate, olives",Organic product lines confirmed; certifying body not published,Yes - distribution offices in Europe and USA,Morocco's leading olive oil exporter to the US,Verified (organic CB not identified),X30;X31
Nectarome,Tnine Ourika (Marrakech-Safi),Private company,"Essential oils, aromatic and medicinal plant extracts, argan cosmetics","Ecocert; USDA Organic",Yes - via EU distributors,~50 aromatic/medicinal species,Verified,X32;X33
Coopérative Souktana du Safran,"Taliouine, Taroudant (Souss-Massa)",Agricultural cooperative (est. 1979),Saffron (coloring power 228-240),Marketed as certified organic; PDO Taliouine context,Yes,150+ farmer members,Verified (organic CB not identified),X24;X25
GIE Mezguita Dattes,Zagora (Drâa-Tafilalet),Economic interest group of 10 cooperatives,Dates,"Sold in Belgium under Colruyt's Boni Bio organic line",Yes - Belgium (Colruyt Group),152 farmers,Verified,X37
Abelta SARL (Bio Herbs Export),Morocco,Private company,"Medicinal and aromatic plants, herbs, spices, seeds - >30 species","Organic marketing; certifying body not confirmed",Export-oriented,not published,Partial - organic CB unconfirmed,X34;X35
Assil Nature,Morocco,Private company,"Medicinal and aromatic herbs, natural oils (artemisia, blue tansy, eucalyptus, lavender)","Organic marketing; certifying body not confirmed",Export,not published,Partial - organic CB unconfirmed,X36
CapersMed,Fès (Fès-Meknès),Private company,"Capers, caperberries, piparras",BRCGS Food Safety Grade A; organic status not confirmed,Yes - EU wholesale,not published,Partial - organic status unconfirmed,X26
Difat Ziz,Erfoud (Drâa-Tafilalet),Union of 30+ date cooperatives,Majhoul (Medjool) dates,Sustainability positioning; organic status not confirmed,Export,30+ cooperatives,Partial - organic status unconfirmed,X37
Coopérative Jnan Erfoud,Erfoud (Drâa-Tafilalet),Coopérative of small and medium producers,Majhoul dates,"Local and international quality standards; organic not confirmed",Export,not published,Partial - organic status unconfirmed,X37
Coopérative Tamaynoute,Souss-Massa,Women's argan cooperative,Argan oil,Publishes a certification page; specific certificates not retrieved,not confirmed,not published,Partial,X7;X8
Coopérative Argan Tamait,Souss-Massa,Argan cooperative,Argan oil,Ecocert register: organic agriculture Europe + USA,Yes,not published,Register-only,X49
Messem Maroc SA,Morocco,Private company,not retrieved,Ecocert register: organic agriculture Europe + USA,Yes,not published,Register-only,X49
SCHO Maroc,Morocco,Private company,not retrieved,Ecocert register: organic agriculture Europe + USA,Yes,not published,Register-only,X49
Kenz Maroc,Morocco,Private company,not retrieved,Ecocert register: organic agriculture Europe,Yes,not published,Register-only,X49
EVOO Factory Morocco,Morocco,Private company,Olive oil,Ecocert register: organic agriculture Europe + USA,Yes,not published,Register-only,X49
Natterer Biologique Maroc SARL,Morocco,Private company,not retrieved,Ecocert register: organic agriculture Europe + USA,Yes,not published,Register-only,X49
Beauty Pride,Agadir area (Souss-Massa),Private manufacturer,Argan / prickly pear seed oil,Ecocert register: organic agriculture Europe + USA,Yes,not published,Register-only,X49
Les Arômes du Maroc,Morocco,Private company,Essential oils / cosmetics,Ecocert organic and natural cosmetics,not confirmed,not published,Register-only,X49
