ref,title,publisher,year,tier,url
M65,Situation hydrique actuelle du Royaume,Medias24 / TelQuel,2025,Secondary,https://medias24.com/2025/03/13/1496563/
M68,World Bank: Morocco’s agricultural success increasingly threatened by recurring drought,Hespress EN,n.d.,Secondary,https://en.hespress.com/143147-world-bank-moroccos-agricultural-success-increasingly-threatened-by-recurring-drought.html
M69,Agriculture bio: des défis réglementaires pour un développement international,LesEco.ma,n.d.,Secondary,https://leseco.ma/maroc/agriculture-bio-des-defis-reglementaires-pour-un-developpement-international.html
E2,Ukraine remained fifth-largest supplier of organic products to EU,Open4Business,2025,Secondary,https://open4business.com.ua/en/ukraine-remained-fifth-largest-supplier-of-organic-products-to-eu/
E8,COM(2025) 780 final - proposal on recognition of equivalent third countries,European Commission,2025,Primary,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=COM%3A2025%3A780%3AFIN
E9,Commission Implementing Regulation (EU) 2021/2325 of 16 December 2021 (consolidated 18.05.2025),EUR-Lex,2021,Primary,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:02021R2325-20250518
E10,EU imports of organic agri-food products: key developments in 2023 (Analytical Brief No 4),European Commission DG AGRI,2024,Primary,https://agriculture.ec.europa.eu/document/download/3f8a9f29-8093-4d67-9a26-0655ef1f1cbb_en
E11,Reg. (EU) 2021/2325 full text (mirror),Organic Trust,2021,Primary,https://organictrust.ie/assets/uploads/otherforms/Third-County-Importation-Regulation.pdf
E12,Organic farming - legislation,European Commission,n.d.,Primary,https://agriculture.ec.europa.eu/farming/organic-farming/legislation_en
E13,Organic products: recognition of control bodies,AGRINFO,2025,Secondary,https://agrinfo.eu/book-of-reports/organic-products-recognition-of-control-bodies/
E14,Draft Commission act C(2025)2051,EUR-Lex,2025,Primary,https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=PI_COM:C(2025)2051
E15,EU organic import rules 2025: from equivalence to compliance,Manubolu,2025,Weak,https://manubolu.de/blog/eu-organic-import-rules-2025.html
E16,Commission Implementing Regulation (EU) 2025/883 of 14 May 2025,IOAS mirror,2025,Primary,https://ioas.org/wp-content/uploads/2025/05/COMMISSION-IMPLEMENTING-REGULATIONEU-2025883-of-14-May-2025.pdf
E17,Organic rulebook fit for the future,European Commission,2025,Primary,https://agriculture.ec.europa.eu/media/news/organic-rulebook-fit-future-2025-12-17_en
E18,Organic farming: Council negotiating position agreed,Council of the EU,2026,Primary,https://www.consilium.europa.eu/en/press/press-releases/2026/05/11/organic-farming-council-negotiating-position-on-simpler-and-clearer-organic-farming-rules-agreed/
E19,Organic farming - trade,European Commission,n.d.,Primary,https://agriculture.ec.europa.eu/farming/organic-farming/trade_en
E20,"Commission Implementing Regulation (EU) 2021/1378, consolidated 25.10.2025",EUR-Lex,2025,Primary,https://eur-lex.europa.eu/eli/reg_impl/2021/1378/2025-10-25
E21,Commission Implementing Regulation (EU) 2024/1748 of 21 June 2024,EUR-Lex,2024,Primary,https://eur-lex.europa.eu/eli/reg_impl/2024/1748/oj/eng
E22,Commission Implementing Regulation (EU) 2025/2138 of 21 October 2025,EUR-Lex,2025,Primary,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32025R2138
E24,The European market potential for olive oil,CBI,2026,Primary,https://www.cbi.eu/sites/default/files/pdf/research/1506.pdf
E26,EU imports of organic agri-food products: key developments in 2024 (Analytical Brief No 7),European Commission DG AGRI,2025,Primary,https://agriculture.ec.europa.eu/system/files/2025-05/analytical-brief-7-eu-organic-imports-brief_en.pdf
E27,"China ranks 2nd among EU organic suppliers, 2025 growth over 30%",FOFCC,2026,Weak,http://fofcc.org.cn/en/36490/
E29,"Joined Cases C-779/21 P and C-799/21 P, judgment of 4 October 2024",Court of Justice of the EU,2024,Primary,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex:62021CJ0779
E30,Press release No 170/24,Court of Justice of the EU,2024,Primary,https://curia.europa.eu/site/upload/docs/application/pdf/2024-10/cp240170en.pdf
E31,"Case C-399/22 Confederation paysanne, ECLI:EU:C:2024:839",Court of Justice of the EU,2024,Primary,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex:62022CJ0399
E32,Press release No 169/24,Court of Justice of the EU,2024,Primary,https://curia.europa.eu/jcms/upload/docs/application/pdf/2024-10/cp240169en.pdf
E34,EU fruit and vegetable imports from Morocco increased by 14% in Q1 2025,FreshPlaza,2025,Secondary,https://www.freshplaza.com/europe/article/9741497/
E38,Delay until December 2026 and other developments in the implementation of the EUDR,European Commission Access2Markets,2025,Primary,https://trade.ec.europa.eu/access-to-markets/en/news/delay-until-december-2026-and-other-developments-implementation-eudr-regulation
E9b,EU imports of organic agri-food products: key developments in 2022 (Analytical Brief No 2),European Commission DG AGRI,2023,Primary,https://agriculture.ec.europa.eu/system/files/2023-07/analytical-brief-2-eu-organic-imports-2022_en.pdf
E8b,EU imports of organic agri-food products (market brief 18),European Commission DG AGRI,2021,Primary,https://agriculture.ec.europa.eu/system/files/2021-06/agri-market-brief-18-organic-imports_en_0.pdf
S1,Africa’s organic farmland shrinks for the first time in a decade (reporting FiBL 2026),Ecofin Agency,2026,Secondary,https://www.ecofinagency.com/news-agriculture/2502-53237-africa-s-organic-farmland-shrinks-for-the-first-time-in-a-decade
S2,Africa has the world’s largest increase in land devoted to organic farming (reporting FiBL 2025),Willagri,2025,Secondary,https://willagri.com/2025/03/19/africa-has-the-worlds-largest-increase-in-land-devoted-to-organic-farming/?lang=en
S3,Organic in Africa: everything you need to know in 2025,Organic Updates,2025,Weak,https://theorganicguy.substack.com/p/organic-in-africa-everything-you
S7,"The World of Organic Agriculture 2026 (Willer, Travnicek, Schlatter, eds.)",FiBL and IFOAM - Organics International,2026,Primary,https://www.fibl.org/fileadmin/documents/shop/1861-organic-world-2026.pdf
S8,Africa: countries with the most organic producers (FiBL data),Statista / FiBL,2025,Secondary,https://www.statista.com/statistics/1285002/countries-with-the-largest-number-of-organic-producers-in-africa/
S9,"Organic agriculture in Tunisia, Africa",Paull J. / European Journal of Agriculture and Food Sciences,2024,Primary,https://orgprints.org/id/eprint/52684/1/Paull2024.Tunisia.EJFOOD_774.pdf
S11,Africa country information pages,organic-world.net / FiBL,n.d.,Primary,https://www.organic-world.net/country-info/africa.html
S12,Boosting organic trade in Africa - Togo market brief,GIZ,n.d.,Primary,https://www.giz.de/en/downloads/Market-Brief_Togo_WEB.pdf
S13,Morocco: organic share of agricultural land,Statista / FiBL,2025,Secondary,https://www.statista.com/statistics/1302591/organic-share-of-agricultural-land-in-morocco/
S14,A guide to Moroccan organic certification,AgriSource Morocco,2025,Weak,https://www.agrisourcemorocco.com/moroccan-organic-certification/
S15,The organic agriculture in Egypt,ENPARD South Support Project II,2019,Secondary,https://www.seve.gr/wp-content/uploads/2019/05/organic-agriculture-in-Egypt.pdf
S16,Tanzania: organic agricultural area (FiBL data),Statista / FiBL,2025,Secondary,https://www.statista.com/statistics/1285250/annual-organic-agricultural-area-in-tanzania/
S25,African organic cocoa exports fall in 2024 but continent retains global lead (reporting FiBL 2026),Ecofin Agency,2026,Secondary,https://www.ecofinagency.com/news/0103-53345-african-organic-cocoa-exports-fall-in-2024-but-continent-retains-global-lead
S28,EAS 456:2007 East African Organic Products Standard,East African Community,2007,Primary,https://law.resource.org/pub/eac/ibr/eas.456.2007.html
S32,Evaluation of the Ecological Organic Agriculture Initiative in Africa (Phase I),EOA-I Africa,2023,Primary,https://eoai-africa.org/wp-content/uploads/2023/02/Final-Evaluation-Report-EOA-Phase-1-copy.pdf
S33,Review of the African Union EOA Initiative Strategic Plan 2015-2025 - final report,African Union / EOA-I,2025,Primary,https://eoai-africa.org/wp-content/uploads/2025/07/Final-Report-REVIEW-OF-THE-AFRICAN-UNION-ECOLOGICAL-ORGANIC-AGRICULTURE-INITIATIVE-v2.pdf
S35,African organic product standards for the African continent? Prospects and limitations,SciELO SA,2018,Primary,https://scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812018000100038
D1,Global organic market hits all-time high in 2024 - farmland holds steady at 99 million hectares,FiBL,2026,Primary,https://www.fibl.org/en/info-centre/news/global-organic-market-hits-all-time-high-in-2024
D6,Europe’s organic market sets another record in 2024,FiBL,2026,Primary,https://www.fibl.org/en/info-centre/news/europes-organic-market-sets-another-record-in-2024-farmland-stable
D12,"Umsatzentwicklung, Absatz und Importe beim deutschen Bio-Markt (Branchenreport 2026)",BOLW,2026,Primary,https://www.boelw.de/news/umsatz-absatz-importe-2026/
D14,Communiqué de presse - Observatoire 2025,Agence Bio,2026,Primary,https://www.agencebio.org/wp-content/uploads/2026/06/CP-Agence-BIO-Observatoire-2025-16-juin-2026.pdf
D16,"Il biologico in Italia: nel 2025 le vendite hanno raggiunto i 6,9 miliardi (+6,2%)",FederBio / Nomisma,2026,Primary,https://feder.bio/biologico-italia-nel-2025-le-vendite-raggiunto-69-miliardi-euro-62/
D22,Developments in organic farming,Eurostat Statistics Explained,2026,Primary,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Developments_in_organic_farming
D23,From farm to fork,Council of the EU,n.d.,Primary,https://www.consilium.europa.eu/en/policies/from-farm-to-fork/
D24,Advancing Europe’s organic transition: policy pathways to 2030 and beyond,OrganicTargets4EU,2025,Primary,https://organictargets.eu/advancing-europes-organic-transition-policy-pathways-to-2030-and-beyond/
D25,BOLW-Branchenreport 2026: Handel muss Bio zunehmend importieren,Lebensmittel Zeitung,2026,Secondary,https://www.lebensmittelzeitung.net/handel/nachrichten/boelw-branchenreport-2026-handel-muss-bio-zunehmend-importieren-189300
D29,Spain consolidates position as Europe’s leading country in organic production area,La Moncloa (Government of Spain),2025,Primary,https://www.lamoncloa.gob.es/lang/en/gobierno/news/paginas/2025/20251010-organic-production.aspx
D30,Spain’s citrus production to hit 16-year low,Citrus Industry Magazine,2025,Secondary,https://citrusindustry.net/2025/10/02/spains-citrus-production-hit-16-year-low/
D33,"Olive sector statistics, December 2025 and forecasts",International Olive Council,2025,Primary,https://www.internationaloliveoil.org/olive-sector-statistics-december-2025-and-forecasts/
D37,TND 3.6 billion in Tunisian olive oil export revenues by end-September 2025,News Tunisia,2025,Secondary,https://news-tunisia.tunisienumerique.com/tunisia-tnd-3-6-billion-in-tunisian-olive-oil-export-revenues-by-the-end-of-september-2025/
D39,Blueberries and raspberries lead Morocco’s record fruit export season,Morocco World News,2025,Secondary,https://www.moroccoworldnews.com/2025/10/262517/
D40,Morocco leads Africa’s berry export,Italian Berry,2025,Secondary,https://italianberry.it/en/news/morocco-berry-export-strawberries-raspberries-blueberries-blackberries-europe-asia-gulf
D41,Spanish berry exports reach EUR 2.114 billion,eComercio Agrario,2025,Secondary,https://ecomercioagrario.com/en/spanish-berry-exports-reach-2-114-billion/
D44,"Ukraine exports 15,400 tons of organic berries in 2025",FreshPlaza,2026,Secondary,https://www.freshplaza.com/europe/article/9846591/
D51,Tunisian Deglet Nour stocks nearly exhausted (organic date export data),FreshPlaza,2025,Secondary,https://www.freshplaza.com/north-america/article/9858543/
D52,"Tunisia forecasts record 404,000-tonne date harvest for 2025/26",Ecofin Agency,2026,Secondary,https://www.ecofinagency.com/news-agriculture/1501-51954-tunisia-forecasts-record-404-000-tonne-date-harvest-for-2025/26
D53,"Germany, top destination for Tunisian organic dates",African Manager,2025,Secondary,https://en.africanmanager.com/germany-top-destination-for-tunisian-organic-dates/
X1,GIE Targanine - exhibitor entry,Salon Gourmets,2024,Secondary,https://www.gourmets.net/salon-gourmets/2024/catalogo-expositores/gie-targanine
X2,Certifications,Targanine,n.d.,Primary,https://targanine.com/en/certifications/
X3,Objectifs et actions,UCFA - Union des Coopératives des Femmes de l’Arganeraie,n.d.,Primary,http://www.cooperative-argane.com/ucfa/objectifs-actions/
X5,Certificate register entry - Coopérative Argan Ida Oumttat (UCFA Tissaliwine),Ecocert,n.d.,Primary,https://certificat.ecocert.com/entreprise/BD34D054-965F-4876-92FA-2A46B0FB350A
X6,Company site,Coopérative Ajddigue,n.d.,Primary,http://www.ajddigue.com/
X8,Company site,Coopérative Taitmatine,n.d.,Primary,https://cooptaitmatine.com/fr/
X10,Certificate register entry - Coopérative Marjana (EU + USDA organic),Ecocert,n.d.,Primary,https://certificat.ecocert.com/entreprise/585CAF4F-5730-4D1B-9390-BF672055D402
X11,Company site,Coopérative Marjana,n.d.,Primary,https://coopmarjana.com/en/
X12,Company site,Coopérative Tighanimine,n.d.,Primary,https://cooperative-tighanimine.com/
X13,Tighanimine: argan oil from Morocco,TDC / Enabel,2019,Primary,https://www.tdc-enabel.be/en/2019/11/07/tighanimine-argan-oil-from-morocco/
X14,Organic argan oil producer Morocco,OLVEA,n.d.,Primary,https://www.olvea-vegetable-oils.com/organic-argan-oil-producer-morocco/
X15,Certificate register entry - OLVEA Morocco SARL,Ecocert,n.d.,Primary,https://certificat.ecocert.com/company/D6A7AD6C-53F7-4467-ADC1-9562A7D03C25
X17,About us,Les Bios d’Agadir,n.d.,Primary,https://www.bioagadir.com/en/about-us/
X18,Certificate register entry - Les Bios d’Agadir,Ecocert,n.d.,Primary,https://certificat.ecocert.com/company/8C37627E-12B3-45AA-ACD0-D001322BD325
X19,Le français ProNatura prend le contrôle de Primeurs Bio du Souss,La Vie éco,n.d.,Secondary,https://www.lavieeco.com/affaires/le-francais-pronatura-prend-le-controle-de-primeurs-bio-du-souss-12115/
X21,Société Primeurs Bio du Souss,Charika,n.d.,Secondary,https://www.charika.ma/societe-primeurs-bio-du-souss-162880
X22,Our quality,Atlas Olive Oils,n.d.,Primary,https://www.atlasoliveoils.com/en/portfolio/our-quality/
X24,Company site,Coopérative Souktana du Safran,n.d.,Primary,https://souktana.org/
X26,Company sites,MAROCAPRES / CapersMed,n.d.,Primary,https://www.marocapres.com/
X27,Certificate register entry - MAROCAPRES (EU + USDA),Ecocert,n.d.,Primary,https://certificat.ecocert.com/entreprise/7EE0DBD2-C63F-46F8-AE5D-4B0772F5D04D
X28,Export,Dari Couspate,n.d.,Primary,https://www.couscousdari.com/en/export
X30,Produits / huiles,Les Conserves de Meknès (Aïcha),n.d.,Primary,https://aicha.com/produits/
X32,Ourika organic aromatic garden,Nectarome,n.d.,Primary,https://www.nectarome.com/ourika-organic-aromatic-garden/?lang=en
X34,Company site,Abelta SARL / Bio Herbs Export,n.d.,Primary,https://bioherbsexport.com/
X36,Medicinal and aromatic herbs,Assil Nature,n.d.,Primary,https://assilnature.com/product-category/medicinal-aromatic-herbs/
X37,Moroccan Medjoul dates (GIE Mezguita / Boni Bio); Maroc Dattes,Colruyt Group / COMADER,n.d.,Primary,https://www.colruytgroup.com/en/sustainable-entrepreneurship/initiatives/moroccan-medjoul-dates
X44,Missions / international recognitions / analytical control,Morocco Foodex,n.d.,Primary,https://www.moroccofoodex.org.ma/en/morocco-foodex/missions/
X45,Moroccan logistics: exporter’s guide,Freshtrack,n.d.,Secondary,https://www.freshtrack.ma/en/blog/moroccan-logistics-exporters-guide
X47,Digitalization in Tanger Med: a new step forward for agri-business exports,Tanger Med,n.d.,Primary,https://www.tangermed.ma/en/digitalization-in-tanger-med-a-new-step-forward-for-agri-business-exports/
X49,Directory of certified customers,Ecocert,n.d.,Primary,https://certificat.ecocert.com/en
X50,Destination Morocco organic pavilion (AMDIE / Maroc Bio),Natexpo,n.d.,Secondary,https://natexpo.com/en/bio-natexpo-relance-la-filiere-avec-44-de-visiteurs-par-exposant/
